en
S,en,Ukraine,ru,РЈРєСЂР°РёРЅР°,ru,РЈРєСЂР°С—РЅР°
T,en,Georgiyivka,ru,Р“РµРѕСЂРіiС—РІРєР°,ua,Р“РµРѕСЂРіiС—РІРєР°
T,en,Dachne,ru,Р”Р°С‡РЅРµ,ua,Р”Р°С‡РЅРµ
T,en,Dobrovillja,ru,Р”РѕР±СЂРѕРІiР»Р»СЏ,ua,Р”РѕР±СЂРѕРІiР»Р»СЏ
T,en,Elizavetivka,ru,Р„Р»РёР·Р°РІРµС‚iРІРєР°,ua,Р„Р»РёР·Р°РІРµС‚iРІРєР°
T,en,Zorjane,ru,Р—РѕСЂСЏРЅРµ,ua,Р—РѕСЂСЏРЅРµ
T,en,Illinka,ru,IР»Р»iРЅРєР°,ua,IР»Р»iРЅРєР°
T,en,Krasnogorivka,ru,РљСЂР°СЃРЅРѕРіРѕСЂiРІРєР°,ua,РљСЂР°СЃРЅРѕРіРѕСЂiРІРєР°
T,en,Kurahove,ru,РљСѓСЂР°С…РѕРІРµ,ua,РљСѓСЂР°С…РѕРІРµ
T,en,Maksimil'janivka,ru,РњР°РєСЃРёРјiР»СЊСЏРЅiРІРєР°,ua,РњР°РєСЃРёРјiР»СЊСЏРЅiРІРєР°
T,en,Mar'yinka,ru,РњР°СЂ'С—РЅРєР°,ua,РњР°СЂ'С—РЅРєР°
T,en,Novomihajlivka,ru,РќРѕРІРѕРјРёС…Р°Р№Р»iРІРєР°,ua,РќРѕРІРѕРјРёС…Р°Р№Р»iРІРєР°
T,en,Novoselidivka,ru,РќРѕРІРѕСЃРµР»РёРґiРІРєР°,ua,РќРѕРІРѕСЃРµР»РёРґiРІРєР°
T,en,Novoukrayinka,ru,РќРѕРІРѕСѓРєСЂР°С—РЅРєР°,ua,РќРѕРІРѕСѓРєСЂР°С—РЅРєР°
T,en,Pavlivka,ru,РџР°РІР»iРІРєР°,ua,РџР°РІР»iРІРєР°
T,en,Prechistivka,ru,РџСЂРµС‡РёСЃС‚iРІРєР°,ua,РџСЂРµС‡РёСЃС‚iРІРєР°
T,en,Sladke,ru,РЎР»Р°РґРєРµ,ua,РЎР»Р°РґРєРµ
T,en,Staromihajlivka,ru,РЎС‚Р°СЂРѕРјРёС…Р°Р№Р»iРІРєР°,ua,РЎС‚Р°СЂРѕРјРёС…Р°Р№Р»iРІРєР°
T,en,Mariupol',ru,РњР°СЂiСѓРїРѕР»СЊ,ua,РњР°СЂiСѓРїРѕР»СЊ
T,en,Sartana,ru,РЎР°СЂС‚Р°РЅР°,ua,РЎР°СЂС‚Р°РЅР°
T,en,Starij krim,ru,РЎС‚Р°СЂРёР№ РљСЂРёРј,ua,РЎС‚Р°СЂРёР№ РљСЂРёРј
T,en,Talakivka,ru,РўР°Р»Р°РєiРІРєР°,ua,РўР°Р»Р°РєiРІРєР°
T,en,Bezimenne,ru,Р‘РµР·iРјРµРЅРЅРµ,ua,Р‘РµР·iРјРµРЅРЅРµ
T,en,Vinogradne,ru,Р’РёРЅРѕРіСЂР°РґРЅРµ,ua,Р’РёРЅРѕРіСЂР°РґРЅРµ
T,en,Gusel'schikove,ru,Р“СѓСЃРµР»СЊС‰РёРєРѕРІРµ,ua,Р“СѓСЃРµР»СЊС‰РёРєРѕРІРµ
T,en,Kachkars'ke,ru,РљР°С‡РєР°СЂСЃСЊРєРµ,ua,РљР°С‡РєР°СЂСЃСЊРєРµ
T,en,Kozats'ke,ru,РљРѕР·Р°С†СЊРєРµ,ua,РљРѕР·Р°С†СЊРєРµ
T,en,Kominternove,ru,РљРѕРјiРЅС‚РµСЂРЅРѕРІРµ,ua,РљРѕРјiРЅС‚РµСЂРЅРѕРІРµ
T,en,Krasnoarmijs'ke,ru,РљСЂР°СЃРЅРѕР°СЂРјiР№СЃСЊРєРµ,ua,РљСЂР°СЃРЅРѕР°СЂРјiР№СЃСЊРєРµ
T,en,Lebedins'ke,ru,Р›РµР±РµРґРёРЅСЃСЊРєРµ,ua,Р›РµР±РµРґРёРЅСЃСЊРєРµ
T,en,Markine,ru,РњР°СЂРєРёРЅРµ,ua,РњР°СЂРєРёРЅРµ
T,en,Novoazovs'k,ru,РќРѕРІРѕР°Р·РѕРІСЃСЊРє,ua,РќРѕРІРѕР°Р·РѕРІСЃСЊРє
T,en,Obriv,ru,РћР±СЂРёРІ,ua,РћР±СЂРёРІ
T,en,Pavlopil',ru,РџР°РІР»РѕРїiР»СЊ,ua,РџР°РІР»РѕРїiР»СЊ
T,en,Patriotichne,ru,РџР°С‚СЂiРѕС‚РёС‡РЅРµ,ua,РџР°С‚СЂiРѕС‚РёС‡РЅРµ
T,en,Primors'ke,ru,РџСЂРёРјРѕСЂСЃСЊРєРµ,ua,РџСЂРёРјРѕСЂСЃСЊРєРµ
T,en,Sedove,ru,РЎС”РґРѕРІРµ,ua,РЎС”РґРѕРІРµ
T,en,Sedovo-vasilivka,ru,РЎС”РґРѕРІРѕ-Р’Р°СЃРёР»iРІРєР°,ua,РЎС”РґРѕРІРѕ-Р’Р°СЃРёР»iРІРєР°
T,en,Samijlove,ru,РЎР°РјiР№Р»РѕРІРµ,ua,РЎР°РјiР№Р»РѕРІРµ
T,en,Sahanka,ru,РЎР°С…Р°РЅРєР°,ua,РЎР°С…Р°РЅРєР°
T,en,Sopine,ru,РЎРѕРїРёРЅРµ,ua,РЎРѕРїРёРЅРµ
T,en,Homutove,ru,РҐРѕРјСѓС‚РѕРІРµ,ua,РҐРѕРјСѓС‚РѕРІРµ
T,en,Shirokine,ru,РЁРёСЂРѕРєРёРЅРµ,ua,РЁРёСЂРѕРєРёРЅРµ
T,en,Bezzabotivka,ru,Р‘РµР·Р·Р°Р±РѕС‚iРІРєР°,ua,Р‘РµР·Р·Р°Р±РѕС‚iРІРєР°
T,en,Vesela gora,ru,Р’РµСЃРµР»Р° Р“РѕСЂР°,ua,Р’РµСЃРµР»Р° Р“РѕСЂР°
T,en,Visokopillja,ru,Р’РёСЃРѕРєРѕРїiР»Р»СЏ,ua,Р’РёСЃРѕРєРѕРїiР»Р»СЏ
T,en,Dmitro-dar'yivka,ru,Р”РјРёС‚СЂРѕ-Р”Р°СЂ'С—РІРєР°,ua,Р”РјРёС‚СЂРѕ-Р”Р°СЂ'С—РІРєР°
T,en,Zaparomar'yivka,ru,Р—Р°РїР°СЂРѕРјР°СЂ'С—РІРєР°,ua,Р—Р°РїР°СЂРѕРјР°СЂ'С—РІРєР°
T,en,Znamenivka,ru,Р—РЅР°РјРµРЅiРІРєР°,ua,Р—РЅР°РјРµРЅiРІРєР°
T,en,Zoloti prudi,ru,Р—РѕР»РѕС‚i РџСЂСѓРґРё,ua,Р—РѕР»РѕС‚i РџСЂСѓРґРё
T,en,Ivers'ke,ru,IРІРµСЂСЃСЊРєРµ,ua,IРІРµСЂСЃСЊРєРµ
T,en,Krinitsi,ru,РљСЂРёРЅРёС†i,ua,РљСЂРёРЅРёС†i
T,en,Mirna dolina,ru,РњРёСЂРЅР° Р”РѕР»РёРЅР°,ua,РњРёСЂРЅР° Р”РѕР»РёРЅР°
T,en,Nekremenne,ru,РќРµРєСЂРµРјРµРЅРЅРµ,ua,РќРµРєСЂРµРјРµРЅРЅРµ
T,en,Novo-poltava,ru,РќРѕРІРѕ-РџРѕР»С‚Р°РІР°,ua,РќРѕРІРѕ-РџРѕР»С‚Р°РІР°
T,en,Ocheretine,ru,РћС‡РµСЂРµС‚РёРЅРµ,ua,РћС‡РµСЂРµС‚РёРЅРµ
T,en,Petrivka-druga,ru,РџРµС‚СЂiРІРєР°-Р”СЂСѓРіР°,ua,РџРµС‚СЂiРІРєР°-Р”СЂСѓРіР°
T,en,Petrivka-persha,ru,РџРµС‚СЂiРІРєР°-РџРµСЂС€Р°,ua,РџРµС‚СЂiРІРєР°-РџРµСЂС€Р°
T,en,Samars'ke,ru,РЎР°РјР°СЂСЃСЊРєРµ,ua,РЎР°РјР°СЂСЃСЊРєРµ
T,en,Spas'ko-mihajlivka,ru,РЎРїР°СЃСЊРєРѕ-РњРёС…Р°Р№Р»iРІРєР°,ua,РЎРїР°СЃСЊРєРѕ-РњРёС…Р°Р№Р»iРІРєР°
T,en,Starovarvarivka,ru,РЎС‚Р°СЂРѕРІР°СЂРІР°СЂiРІРєР°,ua,РЎС‚Р°СЂРѕРІР°СЂРІР°СЂiРІРєР°
T,en,Shestakivka,ru,РЁРµСЃС‚Р°РєiРІРєР°,ua,РЁРµСЃС‚Р°РєiРІРєР°
T,en,Vishneve,ru,Р’РёС€РЅРµРІРµ,ua,Р’РёС€РЅРµРІРµ
T,en,Girnik,ru,Р“iСЂРЅРёРє,ua,Р“iСЂРЅРёРє
T,en,Komishivka,ru,РљРѕРјРёС€iРІРєР°,ua,РљРѕРјРёС€iРІРєР°
T,en,Kurahivka,ru,РљСѓСЂР°С…iРІРєР°,ua,РљСѓСЂР°С…iРІРєР°
T,en,Novogrodivka,ru,РќРѕРІРѕРіСЂРѕРґiРІРєР°,ua,РќРѕРІРѕРіСЂРѕРґiРІРєР°
T,en,Gostre,ru,Р“РѕСЃС‚СЂРµ,ua,Р“РѕСЃС‚СЂРµ
T,en,Selidove,ru,РЎРµР»РёРґРѕРІРµ,ua,РЎРµР»РёРґРѕРІРµ
T,en,Ukrayins'k,ru,РЈРєСЂР°С—РЅСЃСЊРє,ua,РЈРєСЂР°С—РЅСЃСЊРє
T,en,Tsukurine,ru,Р¦СѓРєСѓСЂРёРЅРµ,ua,Р¦СѓРєСѓСЂРёРЅРµ
T,en,Andriyivka selo,ru,РђРЅРґСЂiС—РІРєР° РЎРµР»Рѕ,ua,РђРЅРґСЂiС—РІРєР° РЎРµР»Рѕ
T,en,Bilbasivka,ru,Р‘РёР»Р±Р°СЃiРІРєР°,ua,Р‘РёР»Р±Р°СЃiРІРєР°
T,en,Bogorodichne,ru,Р‘РѕРіРѕСЂРѕРґРёС‡РЅРµ,ua,Р‘РѕРіРѕСЂРѕРґРёС‡РЅРµ
T,en,Dolina,ru,Р”РѕР»РёРЅР°,ua,Р”РѕР»РёРЅР°
T,en,Donets'ke,ru,Р”РѕРЅРµС†СЊРєРµ,ua,Р”РѕРЅРµС†СЊРєРµ
T,en,Majdan,ru,РњР°Р№РґР°РЅ,ua,РњР°Р№РґР°РЅ
T,en,Majaki,ru,РњР°СЏРєРё,ua,РњР°СЏРєРё
T,en,Mirne,ru,РњРёСЂРЅРµ,ua,РњРёСЂРЅРµ
T,en,Novomikolayivka,ru,РќРѕРІРѕРјРёРєРѕР»Р°С—РІРєР°,ua,РќРѕРІРѕРјРёРєРѕР»Р°С—РІРєР°
T,en,Prelesne,ru,РџСЂРµР»РµСЃРЅРµ,ua,РџСЂРµР»РµСЃРЅРµ
T,en,Privillja,ru,РџСЂРёРІiР»Р»СЏ,ua,РџСЂРёРІiР»Р»СЏ
T,en,Raj-oleksandrivka,ru,Р Р°Р№-РћР»РµРєСЃР°РЅРґСЂiРІРєР°,ua,Р Р°Р№-РћР»РµРєСЃР°РЅРґСЂiРІРєР°
T,en,Rajgorodok,ru,Р Р°Р№РіРѕСЂРѕРґРѕРє,ua,Р Р°Р№РіРѕСЂРѕРґРѕРє
T,en,Sidorove,ru,РЎРёРґРѕСЂРѕРІРµ,ua,РЎРёРґРѕСЂРѕРІРµ
T,en,Slov'janogirs'k,ru,РЎР»РѕРІ'СЏРЅРѕРіiСЂСЃСЊРє,ua,РЎР»РѕРІ'СЏРЅРѕРіiСЂСЃСЊРє
T,en,Slov'jans'k,ru,РЎР»РѕРІ'СЏРЅСЃСЊРє,ua,РЎР»РѕРІ'СЏРЅСЃСЊРє
T,en,Tetjanivka,ru,РўРµС‚СЏРЅiРІРєР°,ua,РўРµС‚СЏРЅiРІРєР°
T,en,Hrestische,ru,РҐСЂРµСЃС‚РёС‰Рµ,ua,РҐСЂРµСЃС‚РёС‰Рµ
T,en,CHerkas'ke,ru,Р§РµСЂРєР°СЃСЊРєРµ,ua,Р§РµСЂРєР°СЃСЊРєРµ
T,en,Brazhine,ru,Р‘СЂР°Р¶РёРЅРµ,ua,Р‘СЂР°Р¶РёРЅРµ
T,en,Girnits'ke,ru,Р“iСЂРЅРёС†СЊРєРµ,ua,Р“iСЂРЅРёС†СЊРєРµ
T,en,Zalisne,ru,Р—Р°Р»iСЃРЅРµ,ua,Р—Р°Р»iСЃРЅРµ
T,en,Limanchuk,ru,Р›РёРјР°РЅС‡СѓРє,ua,Р›РёРјР°РЅС‡СѓРє
T,en,Mochalino,ru,РњРѕС‡Р°Р»iРЅРѕ,ua,РњРѕС‡Р°Р»iРЅРѕ
T,en,Pervomajs'ke,ru,РџРµСЂРІРѕРјР°Р№СЃСЊРєРµ,ua,РџРµСЂРІРѕРјР°Р№СЃСЊРєРµ
T,en,Pervomajs'kij,ru,РџРµСЂРІРѕРјР°Р№СЃСЊРєРёР№,ua,РџРµСЂРІРѕРјР°Р№СЃСЊРєРёР№
T,en,Severne,ru,РЎС”РІРµСЂРЅРµ,ua,РЎС”РІРµСЂРЅРµ
T,en,Snizhne,ru,РЎРЅiР¶РЅРµ,ua,РЎРЅiР¶РЅРµ
T,en,Suhoves'ke,ru,РЎСѓС…РѕРІРµСЃСЊРєРµ,ua,РЎСѓС…РѕРІРµСЃСЊРєРµ
T,en,Tsikiforovo,ru,Р¦iРєiС„РѕСЂРѕРІРѕ,ua,Р¦iРєiС„РѕСЂРѕРІРѕ
T,en,Glinka,ru,Р“Р»РёРЅРєР°,ua,Р“Р»РёРЅРєР°
T,en,Koloski,ru,РљРѕР»РѕСЃРєРё,ua,РљРѕР»РѕСЃРєРё
T,en,Komunarivka,ru,РљРѕРјСѓРЅР°СЂiРІРєР°,ua,РљРѕРјСѓРЅР°СЂiРІРєР°
T,en,Komsomol's'ke,ru,РљРѕРјСЃРѕРјРѕР»СЊСЃСЊРєРµ,ua,РљРѕРјСЃРѕРјРѕР»СЊСЃСЊРєРµ
T,en,Krasnopillja,ru,РљСЂР°СЃРЅРѕРїiР»Р»СЏ,ua,РљСЂР°СЃРЅРѕРїiР»Р»СЏ
T,en,Kumachove,ru,РљСѓРјР°С‡РѕРІРµ,ua,РљСѓРјР°С‡РѕРІРµ
T,en,Mar'janivka,ru,РњР°СЂ'СЏРЅiРІРєР°,ua,РњР°СЂ'СЏРЅiРІРєР°
T,en,Novij svit,ru,РќРѕРІРёР№ РЎРІiС‚,ua,РќРѕРІРёР№ РЎРІiС‚
T,en,Novozar'yivka,ru,РќРѕРІРѕР·Р°СЂ'С—РІРєР°,ua,РќРѕРІРѕР·Р°СЂ'С—РІРєР°
T,en,Novokaterinivka,ru,РќРѕРІРѕРєР°С‚РµСЂРёРЅiРІРєР°,ua,РќРѕРІРѕРєР°С‚РµСЂРёРЅiРІРєР°
T,en,Osikove,ru,РћСЃРёРєРѕРІРµ,ua,РћСЃРёРєРѕРІРµ
T,en,Pobeda,ru,РџРѕР±РµРґР°,ua,РџРѕР±РµРґР°
T,en,Pridorozhne,ru,РџСЂРёРґРѕСЂРѕР¶РЅС”,ua,РџСЂРёРґРѕСЂРѕР¶РЅС”
T,en,Rodnikove,ru,Р РѕРґРЅРёРєРѕРІРµ,ua,Р РѕРґРЅРёРєРѕРІРµ
T,en,Sontseve,ru,РЎРѕРЅС†РµРІРµ,ua,РЎРѕРЅС†РµРІРµ
T,en,Starobesheve,ru,РЎС‚Р°СЂРѕР±РµС€РµРІРµ,ua,РЎС‚Р°СЂРѕР±РµС€РµРІРµ
T,en,Stila,ru,РЎС‚РёР»Р°,ua,РЎС‚РёР»Р°
T,en,Stroyitel',ru,РЎС‚СЂРѕС—С‚РµР»СЊ,ua,РЎС‚СЂРѕС—С‚РµР»СЊ
T,en,Bahchovik,ru,Р‘Р°С…С‡РѕРІРёРє,ua,Р‘Р°С…С‡РѕРІРёРє
T,en,Bogdanivka,ru,Р‘РѕРіРґР°РЅiРІРєР°,ua,Р‘РѕРіРґР°РЅiРІРєР°
T,en,Granitne,ru,Р“СЂР°РЅiС‚РЅРµ,ua,Р“СЂР°РЅiС‚РЅРµ
T,en,Grekovo-oleksandrivka,ru,Р“СЂРµРєРѕРІРѕ-РћР»РµРєСЃР°РЅРґСЂiРІРєР°,ua,Р“СЂРµРєРѕРІРѕ-РћР»РµРєСЃР°РЅРґСЂiРІРєР°
T,en,Dersove,ru,Р”РµСЂСЃРѕРІРµ,ua,Р”РµСЂСЃРѕРІРµ
T,en,Zamozhne,ru,Р—Р°РјРѕР¶РЅРµ,ua,Р—Р°РјРѕР¶РЅРµ
T,en,Kon'kove,ru,РљРѕРЅСЊРєРѕРІРµ,ua,РљРѕРЅСЊРєРѕРІРµ
T,en,Kuznetsovo-mihajlivka,ru,РљСѓР·РЅРµС†РѕРІРѕ-РњРёС…Р°Р№Р»iРІРєР°,ua,РљСѓР·РЅРµС†РѕРІРѕ-РњРёС…Р°Р№Р»iРІРєР°
T,en,Lukove,ru,Р›СѓРєРѕРІРµ,ua,Р›СѓРєРѕРІРµ
T,en,Mikolaiyivka,ru,РњРёРєРѕР»Р°iС—РІРєР°,ua,РњРёРєРѕР»Р°iС—РІРєР°
T,en,Michurine,ru,РњiС‡СѓСЂiРЅРµ,ua,РњiС‡СѓСЂiРЅРµ
T,en,Novolaspa,ru,РќРѕРІРѕР»Р°СЃРїР°,ua,РќРѕРІРѕР»Р°СЃРїР°
T,en,Rozivka,ru,Р РѕР·iРІРєР°,ua,Р РѕР·iРІРєР°
T,en,Starognativka,ru,РЎС‚Р°СЂРѕРіРЅР°С‚iРІРєР°,ua,РЎС‚Р°СЂРѕРіРЅР°С‚iРІРєР°
T,en,Starolaspa,ru,РЎС‚Р°СЂРѕР»Р°СЃРїР°,ua,РЎС‚Р°СЂРѕР»Р°СЃРїР°
T,en,Tel'manove,ru,РўРµР»СЊРјР°РЅРѕРІРµ,ua,РўРµР»СЊРјР°РЅРѕРІРµ
T,en,Pelagiyivka,ru,РџРµР»Р°РіiС—РІРєР°,ua,РџРµР»Р°РіiС—РІРєР°
T,en,Rozsipne,ru,Р РѕР·СЃРёРїРЅРµ,ua,Р РѕР·СЃРёРїРЅРµ
T,en,Torez,ru,РўРѕСЂРµР·,ua,РўРѕСЂРµР·
T,en,Girne,ru,Р“iСЂРЅРµ,ua,Р“iСЂРЅРµ
T,en,Zugres,ru,Р—СѓРіСЂРµСЃ,ua,Р—СѓРіСЂРµСЃ
T,en,Zuyivka,ru,Р—СѓС—РІРєР°,ua,Р—СѓС—РІРєР°
T,en,Ilovajs'k,ru,IР»РѕРІР°Р№СЃСЊРє,ua,IР»РѕРІР°Р№СЃСЊРє
T,en,Troyits'ko-hartsiz'k,ru,РўСЂРѕС—С†СЊРєРѕ-РҐР°СЂС†РёР·СЊРє,ua,РўСЂРѕС—С†СЊРєРѕ-РҐР°СЂС†РёР·СЊРє
T,en,Hartsiz'k,ru,РҐР°СЂС†РёР·СЊРє,ua,РҐР°СЂС†РёР·СЊРє
T,en,Shahtne,ru,РЁР°С…С‚РЅРµ,ua,РЁР°С…С‚РЅРµ
T,en,Shiroke,ru,РЁРёСЂРѕРєРµ,ua,РЁРёСЂРѕРєРµ
T,en,Velika shishivka,ru,Р’РµР»РёРєР° РЁРёС€iРІРєР°,ua,Р’РµР»РёРєР° РЁРёС€iРІРєР°
T,en,Grabove,ru,Р“СЂР°Р±РѕРІРµ,ua,Р“СЂР°Р±РѕРІРµ
T,en,Zolotarivka,ru,Р—РѕР»РѕС‚Р°СЂiРІРєР°,ua,Р—РѕР»РѕС‚Р°СЂiРІРєР°
T,en,Komishatka,ru,РљРѕРјРёС€Р°С‚РєР°,ua,РљРѕРјРёС€Р°С‚РєР°
T,en,Kontarne,ru,РљРѕРЅС‚Р°СЂРЅРµ,ua,РљРѕРЅС‚Р°СЂРЅРµ
T,en,Maloorlivka,ru,РњР°Р»РѕРѕСЂР»iРІРєР°,ua,РњР°Р»РѕРѕСЂР»iРІРєР°
T,en,Manujlivka,ru,РњР°РЅСѓР№Р»iРІРєР°,ua,РњР°РЅСѓР№Р»iРІРєР°
T,en,Moskovs'ke,ru,РњРѕСЃРєРѕРІСЃСЊРєРµ,ua,РњРѕСЃРєРѕРІСЃСЊРєРµ
T,en,Nikishine,ru,РќiРєiС€РёРЅРµ,ua,РќiРєiС€РёРЅРµ
T,en,Orlovo-ivanivka,ru,РћСЂР»РѕРІРѕ-IРІР°РЅiРІРєР°,ua,РћСЂР»РѕРІРѕ-IРІР°РЅiРІРєР°
T,en,Sadove,ru,РЎР°РґРѕРІРµ,ua,РЎР°РґРѕРІРµ
T,en,Serdite,ru,РЎРµСЂРґРёС‚Рµ,ua,РЎРµСЂРґРёС‚Рµ
T,en,Stizhkivs'ke,ru,РЎС‚iР¶РєiРІСЃСЊРєРµ,ua,РЎС‚iР¶РєiРІСЃСЊРєРµ
T,en,Shahtars'k,ru,РЁР°С…С‚Р°СЂСЃСЊРє,ua,РЁР°С…С‚Р°СЂСЃСЊРє
T,en,Avdiyivka,ru,РђРІРґiС—РІРєР°,ua,РђРІРґiС—РІРєР°
T,en,Verhn'otorets'ke,ru,Р’РµСЂС…РЅСЊРѕС‚РѕСЂРµС†СЊРєРµ,ua,Р’РµСЂС…РЅСЊРѕС‚РѕСЂРµС†СЊРєРµ
T,en,Donets'k-pС–vnС–chnij stantsija,ru,Р”РѕРЅРµС†СЊРє-РџС–РІРЅС–С‡РЅРёР№ РЎС‚Р°РЅС†iСЏ,ua,Р”РѕРЅРµС†СЊРє-РџС–РІРЅС–С‡РЅРёР№ РЎС‚Р°РЅС†iСЏ
T,en,Zhelanne,ru,Р–РµР»Р°РЅРЅРµ,ua,Р–РµР»Р°РЅРЅРµ
T,en,Keramik,ru,РљРµСЂР°РјiРє,ua,РљРµСЂР°РјiРє
T,en,Krasnij partizan,ru,РљСЂР°СЃРЅРёР№ РџР°СЂС‚РёР·Р°РЅ,ua,РљСЂР°СЃРЅРёР№ РџР°СЂС‚РёР·Р°РЅ
T,en,Netajlove,ru,РќРµС‚Р°Р№Р»РѕРІРµ,ua,РќРµС‚Р°Р№Р»РѕРІРµ
T,en,Novobahmutivka,ru,РќРѕРІРѕР±Р°С…РјСѓС‚iРІРєР°,ua,РќРѕРІРѕР±Р°С…РјСѓС‚iРІРєР°
T,en,Novoselivka-persha,ru,РќРѕРІРѕСЃРµР»iРІРєР°-РџРµСЂС€Р°,ua,РќРѕРІРѕСЃРµР»iРІРєР°-РџРµСЂС€Р°
T,en,Orlivka,ru,РћСЂР»iРІРєР°,ua,РћСЂР»iРІРєР°
T,en,Piski,ru,РџiСЃРєРё,ua,РџiСЃРєРё
T,en,Spartak,ru,РЎРїР°СЂС‚Р°Рє,ua,РЎРїР°СЂС‚Р°Рє
T,en,JAsinuvata,ru,РЇСЃРёРЅСѓРІР°С‚Р°,ua,РЇСЃРёРЅСѓРІР°С‚Р°
R,en,Zhitomirs'ka obl,ru,Р–РёС‚РѕРјРёСЂСЃСЊРєР° РѕР±Р»,ua,Р–РёС‚РѕРјРёСЂСЃСЊРєР° РѕР±Р»
T,en,Andrushivka,ru,РђРЅРґСЂСѓС€iРІРєР°,ua,РђРЅРґСЂСѓС€iРІРєР°
T,en,Antopil',ru,РђРЅС‚РѕРїiР»СЊ,ua,РђРЅС‚РѕРїiР»СЊ
T,en,Brovki-drugi,ru,Р‘СЂРѕРІРєРё-Р”СЂСѓРіi,ua,Р‘СЂРѕРІРєРё-Р”СЂСѓРіi
T,en,Brovki-pershi,ru,Р‘СЂРѕРІРєРё-РџРµСЂС€i,ua,Р‘СЂРѕРІРєРё-РџРµСЂС€i
T,en,Veliki moshkivtsi,ru,Р’РµР»РёРєi РњРѕС€РєiРІС†i,ua,Р’РµР»РёРєi РњРѕС€РєiРІС†i
T,en,Volitsja,ru,Р’РѕР»РёС†СЏ,ua,Р’РѕР»РёС†СЏ
T,en,Volosiv,ru,Р’РѕР»РѕСЃiРІ,ua,Р’РѕР»РѕСЃiРІ
T,en,Gal'chin,ru,Р“Р°Р»СЊС‡РёРЅ,ua,Р“Р°Р»СЊС‡РёРЅ
T,en,Garapivka,ru,Р“Р°СЂР°РїiРІРєР°,ua,Р“Р°СЂР°РїiРІРєР°
T,en,Glinivtsi,ru,Р“Р»РёРЅiРІС†i,ua,Р“Р»РёРЅiРІС†i
T,en,Gorodkivka,ru,Р“РѕСЂРѕРґРєiРІРєР°,ua,Р“РѕСЂРѕРґРєiРІРєР°
T,en,Ivankiv,ru,IРІР°РЅРєiРІ,ua,IРІР°РЅРєiРІ
T,en,Ivnitsja,ru,IРІРЅРёС†СЏ,ua,IРІРЅРёС†СЏ
T,en,Zabara,ru,Р—Р°Р±Р°СЂР°,ua,Р—Р°Р±Р°СЂР°
T,en,Zarubintsi,ru,Р—Р°СЂСѓР±РёРЅС†i,ua,Р—Р°СЂСѓР±РёРЅС†i
T,en,Kameni,ru,РљР°РјРµРЅi,ua,РљР°РјРµРЅi
T,en,Krilivka,ru,РљСЂРёР»iРІРєР°,ua,РљСЂРёР»iРІРєР°
T,en,Lebedintsi,ru,Р›РµР±РµРґРёРЅС†i,ua,Р›РµР±РµРґРёРЅС†i
T,en,Ljubimivka,ru,Р›СЋР±РёРјiРІРєР°,ua,Р›СЋР±РёРјiРІРєР°
T,en,Mala p'jatigirka,ru,РњР°Р»Р° Рџ'СЏС‚РёРіiСЂРєР°,ua,РњР°Р»Р° Рџ'СЏС‚РёРіiСЂРєР°
T,en,Mali moshkivtsi,ru,РњР°Р»i РњРѕС€РєiРІС†i,ua,РњР°Р»i РњРѕС€РєiРІС†i
T,en,Min'kivtsi,ru,РњiРЅСЊРєiРІС†i,ua,РњiРЅСЊРєiРІС†i
T,en,Mostove,ru,РњРѕСЃС‚РѕРІРµ,ua,РњРѕСЃС‚РѕРІРµ
T,en,Nehvorosch,ru,РќРµС…РІРѕСЂРѕС‰,ua,РќРµС…РІРѕСЂРѕС‰
T,en,Nova kotel'nja,ru,РќРѕРІР° РљРѕС‚РµР»СЊРЅСЏ,ua,РќРѕРІР° РљРѕС‚РµР»СЊРЅСЏ
T,en,Pavelki,ru,РџР°РІРµР»РєРё,ua,РџР°РІРµР»РєРё
T,en,Stara kotel'nja,ru,РЎС‚Р°СЂР° РљРѕС‚РµР»СЊРЅСЏ,ua,РЎС‚Р°СЂР° РљРѕС‚РµР»СЊРЅСЏ
T,en,Stepok,ru,РЎС‚РµРїРѕРє,ua,РЎС‚РµРїРѕРє
T,en,CHervone,ru,Р§РµСЂРІРѕРЅРµ,ua,Р§РµСЂРІРѕРЅРµ
T,en,JAreshki,ru,РЇСЂРµС€РєРё,ua,РЇСЂРµС€РєРё
T,en,JAropovichi,ru,РЇСЂРѕРїРѕРІРёС‡i,ua,РЇСЂРѕРїРѕРІРёС‡i
T,en,Baranivka,ru,Р‘Р°СЂР°РЅiРІРєР°,ua,Р‘Р°СЂР°РЅiРІРєР°
T,en,Berestivka,ru,Р‘РµСЂРµСЃС‚iРІРєР°,ua,Р‘РµСЂРµСЃС‚iРІРєР°
T,en,Virlja,ru,Р’iСЂР»СЏ,ua,Р’iСЂР»СЏ
T,en,Glibochok,ru,Р“Р»РёР±РѕС‡РѕРє,ua,Р“Р»РёР±РѕС‡РѕРє
T,en,Dibrivka,ru,Р”iР±СЂiРІРєР°,ua,Р”iР±СЂiРІРєР°
T,en,Dovbish,ru,Р”РѕРІР±РёС€,ua,Р”РѕРІР±РёС€
T,en,Dubrivka,ru,Р”СѓР±СЂiРІРєР°,ua,Р”СѓР±СЂiРІРєР°
T,en,Zhari,ru,Р–Р°СЂРё,ua,Р–Р°СЂРё
